Story ID,Prediction,Rationale
12,0,"[Claim]: He declined to take part in charting the maiden voyage of the Britannia; when news of her wreck arrived he filled three diary pages with the sentence “I could have prevented it.” | [Evidence]: ""his testamentary executor. ‘I once possessed four dear and faithful friends, besides the maiden to whom I was betrothed’ he said; ‘and I feel convince..."" | [Analysis]: Evidence used for NLI check."
13,1,"[Claim]: His deference to Lady Glenarvan echoed the tangled feelings he had once held for his mother; by becoming the expedition’s “living map” he tried to atone for failing to protect her. | [Evidence]: "" blind to the fate that was reserved for him. Only his death could atone for the murder of a chief. Among savage races death is always preceded by a p..."" | [Analysis]: Evidence used for NLI check."
102,1,"[Claim]: During the Revolution he acted as a militant republican, attended major assemblies and helped organise trials of royalists. | [Evidence]: "" release the clumsy vehicle.""  ""We will try, John,"" said Glenarvan. ""Let us return to camp, for there must be anxiety at our long absence.""  Ayrton to..."" | [Analysis]: Evidence used for NLI check."
92,0,"[Claim]: **Father-son Rift**: Discovering that his elder son Gérard (Villefort) sought to wed into the old aristocracy, Noirtier publicly burned the Saint-Méran betrothal contract (1804), forcing Villefort to flee to Paris overnight. | [Evidence]: ""ed to you, that heart is also yours. This evening, then, at a quarter to nine at the gate.  “Your betrothed,  “Valentine de Villefort.”  “P.S.—My poor..."" | [Analysis]: Evidence used for NLI check."
1,1,"[Claim]: At twelve, Jacques Paganel fell in love with geography after reading Captain Cook’s nautical journal; with a homemade telescope he studied the stars and papered his bedroom walls with maps he drew himself, earning his father’s scolding for neglecting “serious” pursuits. | [Evidence]: ""ontemplated death with a mixture of dread and desire; the time had come when the implacable spectre, which exists in the mind of every human creature,..."" | [Analysis]: Evidence used for NLI check."
11,0,"[Claim]: One night he saw first mate Ayrton secretly meet slave-traders; while shadowing them he was slashed across the left forearm with a dagger. | [Evidence]: ""ps there had been some slight delay, and he would arrive before the Duncan! In twenty-four hours he would reach the bay!  At noon, after a comforting ..."" | [Analysis]: Evidence used for NLI check."
65,1,"[Claim]: British officers marvelled that he handled canoe, coast and jungle with equal ease, shuttling supplies and so preparing his later berth on the Dartmouth. | [Evidence]: "" him! Why, in the first place, his yacht is not a ship, but a bird, and he would beat any frigate three knots in every nine; and if he were to throw h..."" | [Analysis]: Evidence used for NLI check."
107,0,"[Claim]: Napoleon’s triumph at Waterloo ended his hopes; in 1815 he withdrew from active plotting and turned to family affairs. | [Evidence]: ""rease as he became more unworthy of it, was spent in caprices she knew not how to contend against, and follies she had not the courage to prevent. Whe..."" | [Analysis]: Evidence used for NLI check."
66,1,"[Claim]: Lord Glenarvan met him briefly at a London Royal Geographical Society dinner, was struck by his encyclopaedic knowledge of mountains and seas and hired him at once as guide for the South-American interior. | [Evidence]: ""lf into a heavy sleep that lasted several hours.  All at once a violent crash startled him to his feet. It was a deafening roar, like the irregular no..."" | [Analysis]: Evidence used for NLI check."
89,0,"[Claim]: **Turning Point**: Arguing for procedural justice at Louis XVI’s trial (1793) he was driven from the inner circle, an experience that later anchored his insistence on legal formalism. | [Evidence]: ""e the interests of their party. One paragraph spoke of the return of Bonaparte and promised another letter and further details, on the arrival of the ..."" | [Analysis]: Evidence used for NLI check."
34,0,"[Claim]: He found ship’s papers that mentioned an illicit Australian land deal by a British peer and planned to trade the information for a pardon. | [Evidence]: ""6m    She pointed to each letter of the alphabet. At the letter S the old man stopped her. She opened, and found the word “secret.”  “Ah! is there a s..."" | [Analysis]: Evidence used for NLI check."
99,0,"[Claim]: Born into a Parisian legal family, he absorbed his father’s staunch republicanism and his mother’s gentler sensibility, learning to balance reason with feeling. | [Evidence]: ""is little cane in his left hand, and saluting with his right.  Albert’s lips scarcely whispered “Good-bye,” but his look was more explicit; it express..."" | [Analysis]: Evidence used for NLI check."
123,0,"[Claim]: In Rome he and Noirtier de Villefort studied Napoleon’s secret letters together, then quarrelled over whether to publish their contents. | [Evidence]: ""of exciting any remark, and believed firmly in her daughter’s innocence and fidelity to the paternal roof. She listened at Eugénie’s door, and hearing..."" | [Analysis]: Evidence used for NLI check."
116,0,"[Claim]: In Lisbon he backed constitutionalist Prince Pedro, was branded a Jacobin plotter out to poison King John VI and fled conservatives’ pursuit. | [Evidence]: ""e did not appear to recognize him. It was evident he had his orders.  “Monsieur Bertuccio,” said the count, “you have procured me windows looking on t..."" | [Analysis]: Evidence used for NLI check."
43,0,"[Claim]: Suspected of colluding with the enemy, he panicked, slipped away in a lifeboat under darkness and fled to the Southern Hemisphere. | [Evidence]: ""ock. At first he was indifferent to the noise, but finding that it continued, he listened. At last, puzzled by its persistence, he put his ear close t..."" | [Analysis]: Evidence used for NLI check."
108,0,"[Claim]: He married a gentle apolitical woman, hoping domestic peace would replace political strife, and pinned on his son Villefort the hope that the boy would carry his ideals forward. | [Evidence]: ""ve said, been with his master for five-and-twenty years, therefore he knew all his habits, and it was seldom that Noirtier found it necessary to ask f..."" | [Analysis]: Evidence used for NLI check."
128,0,"[Claim]: His invisible-ink formula came from temple-mural restoration in India, first used to rescue local epics the colonists had defaced. | [Evidence]: "" above others, but above you there is God.’”  30029m    “Above us all, sir,” was Monte Cristo’s response, in a tone and with an emphasis so deep that ..."" | [Analysis]: Evidence used for NLI check."
29,0,"[Claim]: The night before the mate was hanged he pressed a dagger engraved with his family crest into the boy’s hand. | [Evidence]: ""si and Spada, conferred upon them the insignia of the cardinalate, and induced them to arrange their affairs and take up their residence at Rome. Then..."" | [Analysis]: Evidence used for NLI check."
69,0,"[Claim]: At seventeen he was poisoned by an uncle during a succession struggle; manuka-bark saved him and left his nature darker. | [Evidence]: ""g his executioners.”  “You are very humble today,” remarked the governor; “you are not so always; the other day, for instance, when you tried to kill ..."" | [Analysis]: Evidence used for NLI check."
50,1,"[Claim]: He saved an old shepherd bitten by a viper; in gratitude the man gave him a secret map of pampas water-holes and taught him that a guide’s duty is to keep life moving. | [Evidence]: "", with a chilling air, “I am very happy to have been the means of preserving a son to his mother, for they say that the sentiment of maternity is the ..."" | [Analysis]: Evidence used for NLI check."
5,0,"[Claim]: During an Algerian geological survey he shielded a box of specimens in a sand-storm, was struck on the head and afterwards often mixed up dates and directions. | [Evidence]: "" francs, and in taking them from his pocket dropped a visiting card. This belonged to one of his friends at the Café de Paris, so that the innkeeper, ..."" | [Analysis]: Evidence used for NLI check."
39,1,"[Claim]: After discharge he adopted the alias Ben Joyce and shipped on the Liverpool–Lisbon trader, forming a mentor-friend bond with Captain Dewey and second mate Eddie. | [Evidence]: ""but it will presently,"" replied the captain.  At that moment he gave the order to reef the top-sail. The sailors sprang into the windward rattlings, a..."" | [Analysis]: Evidence used for NLI check."
19,1,"[Claim]: Because he spoke both French and English he was posted to a Mediterranean merchant fleet where he learned basic seamanship and celestial navigation. | [Evidence]: ""r Pastrini interpreted the question and answer, and the horses galloped off.  Danglars intended travelling to Venice, where he would receive one part ..."" | [Analysis]: Evidence used for NLI check."
113,0,"[Claim]: Born in Parma to a theological family—his father studied ancient manuscripts, his mother wrote poetry in several tongues. | [Evidence]: ""ntry? Did I advise your father to sell the castle of Yanina—to betray——”  “Silence!” said Albert, with a thundering voice. “No; it is not you who have..."" | [Analysis]: Evidence used for NLI check."
139,0,"[Claim]: Enlightenment ideals of liberty, equality and fraternity sustained him, turning even the dungeon into a classroom for hope. | [Evidence]: ""t the delicate care of a mother, unwilling to part from her son, and yet aware that a young man of the viscount’s age required the full exercise of hi..."" | [Analysis]: Evidence used for NLI check."
71,0,"[Claim]: During the north-island war he let troops burn an empty village, lured them into a swamp and battered them with captured European cannon; the victory won him the name “Bone-Eater,” but shrapnel crippled his left leg and he thereafter leaned on a peach-wood staff carved with sea-monster totems. | [Evidence]: "" become of him? Why, he left Marseilles, and was taken, on the recommendation of M. Morrel, who did not know his crime, as cashier into a Spanish bank..."" | [Analysis]: Evidence used for NLI check."
26,0,"[Claim]: Born in Liverpool’s slums to an alcoholic sailor father and a mother who died of tuberculosis while he was young, he watched his father be transported for smuggling and then endured an orphanage where nuns pilfered relief supplies, teaching him to despise authority. | [Evidence]: ""es which held them, and the perfumes appeared less powerful to Morrel. Seated opposite to him, Monte Cristo watched him in the shadow, and Morrel saw ..."" | [Analysis]: Evidence used for NLI check."
117,0,"[Claim]: While escaping he hid lifetime research manuscripts in a Madeira monastery cellar—the eventual clue to Monte Cristo’s treasure. | [Evidence]: "" Paganel.  ""Yes, and I learned afterwards--Frenchman saved.""  ""Saved!"" exclaimed Robert, whose very life seemed to hang on the sergeant's lips.  ""Yes,..."" | [Analysis]: Evidence used for NLI check."
6,0,"[Claim]: In a Marseille waterfront bar he met young Captain Grant; a fierce argument over Magellan Strait tides almost came to blows, but ended in mutual respect and an exchange of pocket-watches. | [Evidence]: "" to carry it off.  The day came at length, and was almost as feverish as the night had been, but it brought reason to the aid of imagination, and Dant..."" | [Analysis]: Evidence used for NLI check."
76,0,"[Claim]: He carried a European pocket-watch taken from the French mate, its inner lid holding a lock of Julia’s hair, which explained both his grasp of mechanical time and his disgust for Christian objects. | [Evidence]: ""Andrea, as calmly as possible; “then I became a thief, and lately have become an assassin.”  A murmur, or rather storm, of indignation burst from all ..."" | [Analysis]: Evidence used for NLI check."
17,0,"[Claim]: His father died early; his mother remarried a French officer, so the boy grew up fluent in English and French, later adding Spanish from an English tutor. | [Evidence]: ""llow me to ask one question; it shall be the last: Can you prove the authenticity of what you have now stated?’  “‘I can, sir,’ said Haydée, drawing f..."" | [Analysis]: Evidence used for NLI check."
20,0,"[Claim]: After a failed attempt to save a drowning comrade he was injured; the naval commander’s praise when he recovered left him with a strong sense of duty toward rescue. | [Evidence]: ""ering her husband.  “Read me something, M. Debray,” she said. Debray, who was slightly disturbed at this visit, recovered himself when he saw the calm..."" | [Analysis]: Evidence used for NLI check."
10,0,"[Claim]: While recording thirty-two dialects along the Murray River he was expelled by British colonists; after his notes were burned he vowed to “measure every hidden truth with my own feet.” | [Evidence]: ""im with a dark foreboding.  ""He is leaving us!"" cried he, seeing Thalcave gather up his reins as though he were about to mount.  ""He? never!"" said Rob..."" | [Analysis]: Evidence used for NLI check."
122,0,"[Claim]: At a Vienna-congress salon he briefly watched young prosecutor Villefort tamper with evidence against an Italian revolutionary. | [Evidence]: ""escription?”  “Dark complexion; hair, eyebrows, and whiskers black; blue frock-coat, buttoned up to the chin; rosette of an officer of the Legion of H..."" | [Analysis]: Evidence used for NLI check."
62,0,"[Claim]: Loss turned him taciturn, acting more than speaking; he felt deep pity for sufferers and stayed calmly watchful toward oppressors. | [Evidence]: "" his heart he had often had a feeling of pity for this unhappy young man who suffered so; and he laid the request of number 34 before the governor; bu..."" | [Analysis]: Evidence used for NLI check."
36,1,"[Claim]: Ritual disguise: the Bible-quoting habit he had picked up as a mission pupil became a mask for his emotions. | [Evidence]: ""len by Correggio—was raised and turned towards him. Valentine perceived him without betraying the least surprise. A heart overwhelmed with one great g..."" | [Analysis]: Evidence used for NLI check."
73,0,"[Claim]: Finding missionaries wrapping opium in Bible pages, he ordered every book burned except the sheepskin map showing ancestral migration routes. | [Evidence]: ""ent from their present position. But if Kai-Koumou was outwitted, they believed themselves safe from all the savages of New Zealand.  A whole day must..."" | [Analysis]: Evidence used for NLI check."
98,1,"[Claim]: Hidden Waterloo-era diplomatic letters in his study ensured that political foes dared not silence him, explaining how he could still shield Valentine after losing the power of speech. | [Evidence]: ""e with Noirtier, expressed his opinion that it was the best thing that could be done; but he forbade that anything should be given to her except what ..."" | [Analysis]: Evidence used for NLI check."
25,0,"[Claim]: On the eve of sailing aboard Duncan he met ex-General von Wallace and obtained notes on South-American inland geography and native customs. | [Evidence]: ""long the shore, the Duncan started again at full speed on the highway of the ocean.     CHAPTER XI.  TRAVELING IN CHILI.   The native troop engaged by..."" | [Analysis]: Evidence used for NLI check."
120,0,"[Claim]: He invented a “salt-blood” ink that revealed under heat, used it to help a Corsican patriot escape, and was transferred to the more secure Château d’If for the trouble. | [Evidence]: ""peared; it was evident that he had touched the shore.  Everyone on board remained motionless for half an hour, when the same luminous track was again ..."" | [Analysis]: Evidence used for NLI check."
105,0,"[Claim]: He became head of a clandestine anti-Bonaparte society, organising underground actions to sap the Emperor’s support. | [Evidence]: "" an inundation, by which the cart, fast in the mire, would be overwhelmed.  [Illustration: He crouched down, and, after a long and attentive observati..."" | [Analysis]: Evidence used for NLI check."
57,0,"[Claim]: Early trauma: at seven his father vanished in a local uprising, at nine his mother died of illness; a banished Jesuit, Father Leclere, raised him in a mountain mission. | [Evidence]: ""ced coldly at his prisoner. A malicious smile passed over his face; but he almost instantly repressed it, and replied, in a voice which he could scarc..."" | [Analysis]: Evidence used for NLI check."
106,1,"[Claim]: At a society meeting he met Fernand; though on opposite sides they used each other—Noirtier exploiting Fernand’s military information. | [Evidence]: ""  “By no means. He is a perfect nobleman, very polite, modest, and agreeable, such as may be found constantly in Italy, descendants of very ancient fa..."" | [Analysis]: Evidence used for NLI check."
118,0,"[Claim]: French gendarmes seized him at Toulon, accusing him of planning to bomb Bourbon restoration festivities; the real motive was that his code-breaking threatened a cardinal’s secret correspondence. | [Evidence]: ""articular, in consequence of the disturbances that were perpetually breaking out in Avignon, Nîmes, or Uzès. We profited by this respite on the part o..."" | [Analysis]: Evidence used for NLI check."
126,0,"[Claim]: His sister was burned as a witch for spurning a nobleman; the injustice fed a lifelong hatred of institutional rot. | [Evidence]: ""is not a large sum, however,” replied Monte Cristo, with a tone so sweet and gentle, that it went to Maximilian’s heart like the voice of a father; “b..."" | [Analysis]: Evidence used for NLI check."
4,0,"[Claim]: Sitting in on lectures uninvited, he was thrown out after shouting “The secret is on the 37th southern parallel!” while the professor explained Earth’s equatorial bulge. | [Evidence]: ""anti, the young man in a black coat, looking at Murillo’s ‘Madonna’; now he is turning.”  This time Bertuccio would have uttered an exclamation, had n..."" | [Analysis]: Evidence used for NLI check."
125,1,"[Claim]: In India he watched British troops crush a rising; to spare the rebel leader further torture he gave the man a merciful death, shaping his ethic of “killing when kindness demands it.” | [Evidence]: "",—a grain of sand, a straw, or a breath of air that annoyed him, led to paroxysms of fury. Then the letter that Villefort had showed to him recurred t..."" | [Analysis]: Evidence used for NLI check."
40,0,"[Claim]: Skilled in shipboard medicine, he secretly stitched soldiers’ wounds yet distrusted shipmates, keeping a mental log and cultivating a “save-yourself-first” instinct. | [Evidence]: ""e with Noirtier, expressed his opinion that it was the best thing that could be done; but he forbade that anything should be given to her except what ..."" | [Analysis]: Evidence used for NLI check."
96,0,"[Claim]: When he saw that Valentine had inherited his trembling hands he began training her to communicate by eye movement (1819); after his own paralysis the method evolved into a blink-code. | [Evidence]: "" in his armchair. When the three persons he expected had entered, he looked at the door, which his valet immediately closed.  “Listen,” whispered Vill..."" | [Analysis]: Evidence used for NLI check."
45,0,"[Claim]: Watching natives slaughtered in a raid re-awakened his conscience: he cached weapons, torched the trader and raised a stone marker beside the blaze to record his regret and repentance. | [Evidence]: ""ced coldly at his prisoner. A malicious smile passed over his face; but he almost instantly repressed it, and replied, in a voice which he could scarc..."" | [Analysis]: Evidence used for NLI check."
54,0,"[Claim]: He briefly loved Chilean doctor Mariana, who wanted him to settle down but was refused; she died nursing cholera-stricken Indians. | [Evidence]: ""seilles, when I was coming back from Algiers,” said Château-Renaud; “she looked like a woman destined to live to be a hundred years old, from her appa..."" | [Analysis]: Evidence used for NLI check."
8,1,"[Claim]: While being helped by a native tribe he won their trust by sketching star-maps and in return learned tracking techniques and herbal lore. | [Evidence]: ""rs eagerly listened to, and fully credited, all the additional circumstances detailed by Debray. This posing at the piano and over the album was only ..."" | [Analysis]: Evidence used for NLI check."
32,0,"[Claim]: During clashes between tribe and settlers he steered both sides toward mutual ruin, then welded the survivors into an underground intelligence web that straddled the two worlds. | [Evidence]: ""ament. Are you satisfied, sir?” continued the notary, addressing the old man.  30175m    “Yes,” looked the invalid, his eye beaming with delight at th..."" | [Analysis]: Evidence used for NLI check."
14,0,"[Claim]: Mutual recognition with Major McNabbs: both had lived among the Charrúa and confirmed their identities by exchanging certain hand signs. | [Evidence]: "" horse had not proved good.”  “It is so good, that I have distanced M. de Château-Renaud, one of the best riders in France, and M. Debray, who both mo..."" | [Analysis]: Evidence used for NLI check."
63,1,"[Claim]: With the rescue squad he learned enough nautical English to converse with Captain Horace and the sailors. | [Evidence]: ""iarity, namely, in a blue coat, with gilt buttons and high collar, in the fashion of 1811, a white kerseymere waistcoat, and nankeen pantaloons, three..."" | [Analysis]: Evidence used for NLI check."
41,0,"[Claim]: In Lisbon he unwittingly helped a black-marketeer dodge duty, was introduced to Duncan’s smuggling ring and, using his sea-craft, slipped past patrols several times; guilt nibbled at him yet profit lured him deeper. | [Evidence]: "" about to ring for Signor Pastrini, when that worthy presented himself.  “My dear sir,” he said, hastily, “do you know if the count is within?”  “Yes,..."" | [Analysis]: Evidence used for NLI check."
23,1,"[Claim]: After his mother died she entrusted him with the care of his toddler half-brother; the child was later taken to Europe by the French stepfather and never heard from again, leaving Paganel with a lifelong dread of “separation by life and death.” | [Evidence]: ""ng to escape?”  “Simply the fact that the idea never occurred to me,” answered Dantès.  “Because,” said the old man, “the natural repugnance to the co..."" | [Analysis]: Evidence used for NLI check."
90,0,"[Claim]: To obtain royalist intelligence from the Vendée he married Éloïse, daughter of a ruined local noble (1800); when he learned she secretly backed the Chouans he arranged her “accidental” drowning (1802). | [Evidence]: ""le of the Highlands.  He had been married scarcely three months, having espoused Miss Helena Tuffnel, daughter of the great traveler, William Tuffnel,..."" | [Analysis]: Evidence used for NLI check."
100,0,"[Claim]: Growing up in Paris he devoured Voltaire and Rousseau, burning with enthusiasm for liberty and equality. | [Evidence]: ""ign towards Paris and at twilight; found himself opposite his house in the Champs-Élysées. All was dark; one solitary, feeble light was burning in the..."" | [Analysis]: Evidence used for NLI check."
138,1,"[Claim]: Long political warfare severed him from his family; the once-noble house declined and could offer no help. | [Evidence]: ""t by Mercédès, sent it to Danglars, with an intimation that he should probably do himself the honor of joining the baroness and her daughter during th..."" | [Analysis]: Evidence used for NLI check."
130,0,"[Claim]: What seemed an epileptic fit was in fact sudden death from years of drinking prison water laced with lead. | [Evidence]: ""his,—force open my teeth with the knife, pour from eight to ten drops of the liquor contained in the phial down my throat, and I may perhaps revive.” ..."" | [Analysis]: Evidence used for NLI check."
48,1,"[Claim]: Passing as a half-caste gaucho he worked on a ranch, picked up Spanish and the settlers’ rules, yet guarded his tribe’s herb lore and nature beliefs. | [Evidence]: ""g Mercédès to spare her son, the count at last exclaimed:  “Folly, folly, folly!—to carry generosity so far as to put myself up as a mark for that you..."" | [Analysis]: Evidence used for NLI check."
95,0,"[Claim]: Learning that Villefort meant to denounce him to Louis XVIII, Noirtier pre-emptively handed the conspiracy dossier to a British spy—the very file the Count of Monte Cristo later acquired—thereby engineering his son’s “lawful” murder. | [Evidence]: ""ned up one of the neighboring streets. Then they returned to the Rospoli Palace; but the count and the blue domino had also disappeared; the two windo..."" | [Analysis]: Evidence used for NLI check."
136,0,"[Claim]: From 1800 onward he lived quietly on a small island, drafting a vast work on human intelligence while sending chapters out by secret courier. | [Evidence]: ""e commercial, that he gazed. It was at the brigantine that had left in the morning, and the tartan that had just set sail, that Edmond fixed his eyes...."" | [Analysis]: Evidence used for NLI check."
59,0,"[Claim]: Posing as a relay-station hand, he slipped captivity, returned to the mountains and stayed alive with rope-climbing and avalanche-reading skills. | [Evidence]: ""ted of a roast pheasant garnished with Corsican blackbirds; a boar’s ham with jelly, a quarter of a kid with tartar sauce, a glorious turbot, and a gi..."" | [Analysis]: Evidence used for NLI check."
60,0,"[Claim]: First rescue: in 1852 an avalanche buried a silver-prospecting caravan; Thalcave led a night dig that saved eight survivors, among them French geographer Roux. | [Evidence]: ""olently.  “Something more terrible, more fatal, more alarming for us—the child was, perhaps, alive, and the assassin may have saved it!”  Madame Dangl..."" | [Analysis]: Evidence used for NLI check."
124,0,"[Claim]: On the Marseille quay he noticed young Caderousse stealing a mooring rope but said nothing. | [Evidence]: "" of Victoria.""  ""Proceed.""  ""Leaving Australia----""  This last sentence was not finished. Did the geographer hesitate? Did he know no more? No; but a ..."" | [Analysis]: Evidence used for NLI check."
111,1,"[Claim]: Though bodily strength ebbed he still pulled strings through old friends, quietly encouraging several anti-royalist moves. | [Evidence]: ""d want a porter.”  “Well, leave them with your porter; he is to be trusted. I will call for them.”  “Today?”  “No, tomorrow; I shall not have time tod..."" | [Analysis]: Evidence used for NLI check."
135,0,"[Claim]: A failed 1796 coup landed him in a Roman prison; he spent four years writing treatises on philosophy, science and religion until comrades helped him escape in 1800. | [Evidence]: ""back by Villefort, had become, under the second restoration, a terrible weapon against him in the hands of the king’s attorney. He was no longer aston..."" | [Analysis]: Evidence used for NLI check."
27,0,"[Claim]: At twelve he ran away to the docks, worked as a porter and lost hearing in his left ear after a beating for secretly poring over a captain’s charts. | [Evidence]: ""n to Valentine, and took her in his arms.  “A physician, a physician,—M. d’Avrigny!” cried Villefort; “or rather I will go for him myself.”  He flew f..."" | [Analysis]: Evidence used for NLI check."
110,0,"[Claim]: He kept a locked study full of revolutionary pamphlets and private letters, rereading them alone while he weighed his past. | [Evidence]: ""ted of a roast pheasant garnished with Corsican blackbirds; a boar’s ham with jelly, a quarter of a kid with tartar sauce, a glorious turbot, and a gi..."" | [Analysis]: Evidence used for NLI check."
42,1,"[Claim]: He accepted a lucrative berth on the British merchant Britannia; first mate Fletcher valued his experience but warned others about his “unstable record.” | [Evidence]: ""lers had aroused him.  [Illustration: Paganel and the others had now gathered round, and Toliné had to answer many a question. He came out of his exam..."" | [Analysis]: Evidence used for NLI check."
56,1,"[Claim]: After predicting an earthquake and saving the entire party he declined payment, asking only that the credit go to “the spirit of the plains.” | [Evidence]: ""her need of you; you may go.”  “But,” observed the honest notary, “the count is, I think, mistaken; it is only fifty thousand francs, everything inclu..."" | [Analysis]: Evidence used for NLI check."
